MAG_AUTO_u	MAG_AUTO_g	MAG_AUTO_r	MAG_AUTO_i	u-r	r-i	class
continuous	continuous	continuous	continuous	continuous	continuous	0 1
						class
21.2928	21.0520	20.9036	20.6932	0.389	0.210	1
21.5131	20.5559	20.4804	20.6728	1.033	-0.192	1
22.1353	21.4039	21.3575	21.4108	0.778	-0.053	1
22.1494	21.5525	21.5865	21.6314	0.563	-0.045	1
22.1361	20.7553	20.6572	20.8089	1.479	-0.152	1
22.9147	19.6004	19.0453	18.8215	3.869	0.224	1
20.7109	20.4195	20.2222	20.2322	0.489	-0.010	1
22.3174	21.0021	20.6730	20.5484	1.644	0.125	1
21.6820	20.6726	20.9512	20.9415	0.731	0.010	1
21.7856	21.0793	21.1988	21.2565	0.587	-0.058	1
22.5023	21.7437	21.8710	21.9081	0.631	-0.037	1
21.9385	20.7927	20.9917	20.9692	0.947	0.022	1
20.8406	20.4181	20.3838	20.3636	0.457	0.020	1
21.4416	21.0901	20.9430	21.0985	0.499	-0.155	1
20.1613	19.6136	19.7153	19.8659	0.446	-0.151	1
22.0367	21.6360	21.4562	21.5903	0.580	-0.134	1
22.8235	21.6073	21.3942	21.5589	1.429	-0.165	1
20.6843	19.9675	19.7132	19.6549	0.971	0.058	1
21.8348	21.2919	20.9489	20.5539	0.886	0.395	1
22.1028	21.7467	21.5913	21.3684	0.512	0.223	1
21.3691	20.0578	19.9001	19.9833	1.469	-0.083	1
22.2642	21.3332	21.1791	21.0399	1.085	0.139	1
22.2643	19.9224	19.6464	19.4599	2.618	0.187	1
20.9179	20.0026	19.9401	20.0026	0.978	-0.063	1
22.1240	20.7379	20.5480	20.4792	1.576	0.069	1
21.1646	20.6728	20.5037	20.4662	0.661	0.038	1
22.9399	21.4732	21.3668	21.3324	1.573	0.034	1
21.2770	21.0810	21.0770	21.0140	0.200	0.063	1
21.1995	20.5791	20.2185	19.8329	0.981	0.386	1
21.3538	20.8586	20.7293	20.6247	0.625	0.105	1
20.4488	19.8989	19.9234	19.8933	0.525	0.030	1
20.4931	20.0550	19.7514	19.4132	0.742	0.338	1
22.0917	21.6171	21.4071	20.9968	0.685	0.410	1
20.1788	19.6156	19.4688	19.5784	0.710	-0.110	1
22.7490	21.8947	21.8782	21.6675	0.871	0.211	1
21.3852	20.8767	20.8148	20.9311	0.570	-0.116	1
21.7515	20.9026	20.5587	20.0813	1.193	0.477	1
20.6717	20.1251	20.0794	19.9906	0.592	0.089	1
21.9890	21.3025	21.2407	21.3449	0.748	-0.104	1
21.5402	20.9804	20.8170	20.7832	0.723	0.034	1
20.8113	20.0878	19.9713	19.9252	0.840	0.046	1
20.6456	20.4423	20.4026	20.1197	0.243	0.283	1
21.6861	20.6300	20.7655	20.4763	0.921	0.289	1
21.8189	21.1830	21.1139	20.9848	0.705	0.129	1
22.3003	21.7919	21.8430	21.6916	0.457	0.151	1
23.6704	21.5972	21.2685	21.0426	2.402	0.226	1
21.6681	21.2737	21.1994	21.0898	0.469	0.110	1
21.4707	20.8256	20.6850	20.4854	0.786	0.200	1
20.8888	20.5623	20.2154	20.0882	0.673	0.127	1
22.0839	20.9227	20.8187	20.6943	1.265	0.124	1
20.6481	20.2997	20.2505	20.0691	0.398	0.181	1
19.8240	19.2288	19.2521	19.1903	0.572	0.062	1
20.2870	19.2128	18.9777	18.8984	1.309	0.079	1
23.5246	21.5047	21.4297	21.4135	2.095	0.016	1
21.8314	21.2564	20.8727	20.5137	0.959	0.359	1
21.6709	21.0059	21.1582	21.2035	0.513	-0.045	1
20.2675	19.9448	19.9000	19.7847	0.368	0.115	1
22.4726	21.7619	21.7554	22.0894	0.717	-0.334	1
22.2859	21.3445	21.0881	20.8134	1.198	0.275	1
19.2748	17.6809	17.4668	17.2884	1.808	0.178	1
21.0250	20.3968	20.3978	20.1919	0.627	0.206	1
22.8267	21.9180	21.6870	21.7272	1.140	-0.040	1
20.5318	19.8054	19.9757	19.9911	0.556	-0.015	1
21.3377	21.2993	21.5371	21.3141	-0.199	0.223	1
21.7231	20.5008	20.7246	20.3948	0.999	0.330	1
21.4486	21.0759	20.9470	20.7824	0.502	0.165	1
21.4883	20.8647	20.9495	20.7830	0.539	0.166	1
20.9618	19.6456	18.9549	18.6156	2.007	0.339	1
20.9838	19.5188	19.3435	19.3548	1.640	-0.011	1
21.3342	20.8287	20.8687	20.5785	0.465	0.290	1
22.6628	20.9548	20.6842	20.5434	1.979	0.141	1
21.2946	20.7228	20.7974	20.6592	0.497	0.138	1
20.9464	20.3460	20.2938	20.2453	0.653	0.049	1
21.3319	21.0658	21.1504	20.7216	0.181	0.429	1
21.0071	20.6435	20.5955	20.5286	0.412	0.067	1
22.5383	21.6791	21.6136	21.3780	0.925	0.236	1
20.9148	20.0436	20.1255	19.9347	0.789	0.191	1
21.1921	20.5484	20.6175	20.4510	0.575	0.167	1
21.4660	21.1654	21.1813	20.7361	0.285	0.445	1
21.9801	20.8383	20.6837	20.4849	1.296	0.199	1
21.7662	21.0127	21.0132	21.1484	0.753	-0.135	1
20.9126	20.5261	20.1491	19.8255	0.764	0.324	1
22.3983	21.7210	21.8555	21.6464	0.543	0.209	1
21.1895	20.6475	20.4168	20.1813	0.773	0.236	1
21.6538	21.3284	21.1527	21.0147	0.501	0.138	1
21.8046	21.1838	21.0920	20.9988	0.713	0.093	1
20.4683	19.8022	19.7268	19.6817	0.741	0.045	1
23.6032	21.5294	21.5171	21.5135	2.086	0.004	1
22.0951	21.4067	21.1932	21.0251	0.902	0.168	1
22.0705	21.5660	21.2679	20.8078	0.803	0.460	1
19.9931	19.3486	19.3607	19.2498	0.632	0.111	1
21.9885	21.3973	21.4733	21.5438	0.515	-0.070	1
22.5323	21.9015	21.7351	21.7124	0.797	0.023	1
21.5623	21.2692	21.1746	20.9632	0.388	0.211	1
21.1008	20.8170	20.6315	20.4070	0.469	0.225	1
24.9980	21.5387	21.3789	21.2036	3.619	0.175	1
20.6621	19.7184	19.3450	19.1861	1.317	0.159	1
21.8244	21.7528	21.4735	21.4862	0.351	-0.013	1
21.8692	21.3591	21.3593	21.2118	0.510	0.148	1
23.1905	22.0674	21.8920	21.9879	1.299	-0.096	1
21.6117	20.0779	19.9178	19.9073	1.694	0.010	1
20.4512	20.2070	20.0792	19.7761	0.372	0.303	1
23.0670	20.4882	20.0754	19.7193	2.992	0.356	1
22.3963	21.9486	21.8332	21.8224	0.563	0.011	1
21.5967	21.2491	20.9872	20.5356	0.610	0.452	1
23.7609	21.6192	21.3388	21.1153	2.422	0.224	1
18.4881	18.1682	18.1133	18.0786	0.375	0.035	1
21.9165	20.7841	20.6289	20.5406	1.288	0.088	1
19.3638	18.7452	18.2505	18.0654	1.113	0.185	1
21.2518	20.3503	20.2258	20.1768	1.026	0.049	1
21.8255	21.0030	21.0139	20.7296	0.812	0.284	1
19.9277	19.3485	19.3450	19.2946	0.583	0.050	1
19.9256	19.0951	19.0426	19.0555	0.883	-0.013	1
20.7221	20.4489	20.3185	20.0193	0.404	0.299	1
20.5020	20.0951	19.9764	19.7418	0.526	0.235	1
20.7076	20.3996	20.4300	20.0996	0.278	0.330	1
20.8729	20.0896	19.8754	19.8650	0.997	0.010	1
21.1520	20.4786	20.3520	20.2900	0.800	0.062	1
23.0501	21.4493	21.2389	21.1723	1.811	0.067	1
22.3793	21.2753	21.4256	21.2557	0.954	0.170	1
21.5897	20.8988	20.9500	20.8240	0.640	0.126	1
22.5963	20.7856	20.5292	20.5836	2.067	-0.054	1
20.8225	20.0075	19.8777	19.7660	0.945	0.112	1
19.5508	18.7666	18.6848	18.5215	0.866	0.163	1
21.9394	21.0976	20.9356	20.8033	1.004	0.132	1
21.5028	20.9414	20.9151	20.9269	0.588	-0.012	1
20.8012	19.8047	19.6345	19.5333	1.167	0.101	1
21.5058	20.9864	20.6095	20.5152	0.896	0.094	1
21.3963	20.6613	20.5252	20.5137	0.871	0.011	1
21.4535	21.1184	21.0569	20.8222	0.397	0.235	1
21.6184	21.0164	20.8669	20.7139	0.752	0.153	1
22.1990	20.7587	20.5663	20.3719	1.633	0.194	1
21.4536	20.5474	20.6524	20.3876	0.801	0.265	1
21.3837	20.6410	20.3285	20.2080	1.055	0.121	1
22.7738	20.1661	19.9167	19.9443	2.857	-0.028	1
21.5250	20.4649	20.2608	20.2356	1.264	0.025	1
21.7987	20.8796	20.7338	20.6372	1.065	0.097	1
22.5455	21.7788	21.6408	21.6205	0.905	0.020	1
21.4900	21.1306	20.9904	20.7311	0.500	0.259	1
21.3507	21.1132	20.9827	20.7843	0.368	0.198	1
21.8427	21.1677	20.8420	20.7560	1.001	0.086	1
20.3946	19.8784	19.7840	19.7155	0.611	0.069	1
21.3449	20.8551	20.5878	20.5382	0.757	0.050	1
20.1471	19.8001	19.6344	19.4970	0.513	0.137	1
20.3121	19.5028	19.4907	19.5460	0.821	-0.055	1
20.5789	20.1704	20.0306	19.8921	0.548	0.139	1
21.4068	20.6168	20.2356	19.9237	1.171	0.312	1
20.8697	20.4547	20.4666	20.3824	0.403	0.084	1
22.5063	21.6686	21.5306	21.5049	0.976	0.026	1
19.6060	19.2842	19.1168	19.0249	0.489	0.092	1
19.8293	19.0825	18.7108	18.5045	1.118	0.206	1
21.5676	21.1312	21.1121	21.1796	0.455	-0.067	1
22.9254	21.5860	21.2527	21.1331	1.673	0.120	1
22.5443	20.5780	20.3108	20.2750	2.233	0.036	1
22.0056	21.2625	21.3866	21.4326	0.619	-0.046	1
24.8839	21.2502	20.1469	20.1132	4.737	0.034	1
20.2334	19.6460	19.5941	19.4983	0.639	0.096	1
23.2383	21.3722	21.0687	21.0162	2.170	0.053	1
21.9104	20.7181	20.4649	20.5013	1.446	-0.036	1
19.1870	18.5979	18.7129	18.6125	0.474	0.100	1
21.8359	20.8164	20.6457	20.5506	1.190	0.095	1
21.3657	20.5494	20.3091	20.1227	1.057	0.186	1
23.4927	21.7009	21.6479	21.9069	1.845	-0.259	1
24.0830	21.7452	21.4425	21.5300	2.641	-0.088	1
20.4413	19.6100	19.4203	19.3330	1.021	0.087	1
22.6439	22.0056	21.9690	21.9568	0.675	0.012	1
19.1744	18.8818	18.8999	18.6810	0.274	0.219	1
21.4661	20.7909	20.4385	20.2070	1.028	0.231	1
20.6932	20.3422	20.1753	20.0276	0.518	0.148	1
20.3655	19.6037	19.4009	19.4490	0.965	-0.048	1
22.3678	21.7666	21.6885	21.7809	0.679	-0.092	1
23.2584	21.4432	20.7027	20.0266	2.556	0.676	1
21.4588	19.8702	19.6124	19.6314	1.846	-0.019	1
21.0882	20.1277	19.3447	19.1050	1.743	0.240	1
20.7082	20.1769	19.9524	19.8968	0.756	0.056	1
21.7151	20.9228	20.8630	21.0080	0.852	-0.145	1
23.0855	20.2914	19.9819	20.0108	3.104	-0.029	1
21.9356	21.5056	21.3979	21.2918	0.538	0.106	1
18.1239	18.1033	17.9862	17.6508	0.138	0.335	1
20.7326	20.5227	20.2087	20.2467	0.524	-0.038	1
21.7313	21.4028	21.2273	21.1890	0.504	0.038	1
20.5537	19.8658	19.4711	19.2883	1.083	0.183	1
21.8233	21.8432	21.9875	21.7324	-0.164	0.255	1
23.6743	19.8994	19.2536	19.1336	4.421	0.120	1
22.0924	21.3191	21.1420	21.2576	0.950	-0.116	1
21.0910	20.9972	20.9138	20.7512	0.177	0.163	1
23.0672	21.3179	21.1348	21.1407	1.932	-0.006	1
20.6329	20.0528	19.9503	20.0489	0.683	-0.099	1
20.8877	19.5877	19.3607	19.2077	1.527	0.153	1
22.0820	21.1223	21.2460	21.5958	0.836	-0.350	1
19.7528	19.1304	19.0268	18.9473	0.726	0.080	1
21.8478	20.9458	20.8644	20.8492	0.983	0.015	1
23.7127	20.9249	20.5210	20.2919	3.192	0.229	1
22.0186	21.3789	21.2898	21.3488	0.729	-0.059	1
20.9227	20.5245	20.5502	20.4351	0.373	0.115	1
21.9129	21.3067	20.3495	19.9560	1.563	0.394	1
20.7307	20.2106	20.1862	20.0769	0.545	0.109	1
22.0723	21.4514	21.1655	21.4793	0.907	-0.314	1
19.4187	19.3754	19.4252	19.1766	-0.007	0.249	1
21.4014	20.8394	21.0378	20.9671	0.364	0.071	1
22.4950	20.4569	20.4388	20.4493	2.056	-0.010	1
22.2908	21.5910	21.6941	21.4897	0.597	0.204	1
22.6220	21.8409	21.8374	21.3251	0.785	0.512	1
20.5908	20.1661	19.8626	19.5410	0.728	0.322	1
20.5009	19.9095	19.7833	19.6998	0.718	0.083	1
20.5628	19.9440	19.8721	19.9483	0.691	-0.076	1
20.6428	20.1252	19.9902	20.0215	0.653	-0.031	1
20.9300	20.3684	20.0777	20.0976	0.852	-0.020	1
21.4691	20.7400	20.5194	20.3206	0.950	0.199	1
20.7742	20.1179	19.6535	19.6020	1.121	0.052	1
22.4081	22.0586	21.9791	22.1086	0.429	-0.130	1
22.2803	21.6844	21.5151	21.6008	0.765	-0.086	1
21.3742	20.8009	20.6826	20.6639	0.692	0.019	1
19.9792	19.5851	19.5873	19.4367	0.392	0.151	1
21.8519	21.0551	21.0743	20.8391	0.778	0.235	1
20.8724	20.4767	20.4616	20.3471	0.411	0.115	1
21.2545	20.9123	20.7262	20.7924	0.528	-0.066	1
19.8675	19.4361	19.1798	19.1698	0.688	0.010	1
21.3154	20.4522	20.0730	19.6603	1.242	0.413	1
20.9492	20.4503	20.4439	20.3445	0.505	0.099	1
20.9940	20.7081	20.6864	20.4406	0.308	0.246	1
21.7349	21.1551	21.1771	20.9731	0.558	0.204	1
23.6176	21.7434	21.5974	21.7535	2.020	-0.156	1
20.8113	20.4704	20.3547	20.1964	0.457	0.158	1
22.0167	20.6082	20.2979	20.2913	1.719	0.007	1
19.8627	19.4175	19.3558	19.2119	0.507	0.144	1
21.7164	20.9627	20.7267	20.7064	0.990	0.020	1
20.5244	20.2574	20.1684	20.1562	0.356	0.012	1
19.6333	19.2125	19.0964	19.0915	0.537	0.005	1
20.4383	20.1361	19.8986	19.6473	0.540	0.251	1
20.5726	20.1110	20.0793	19.9802	0.493	0.099	1
21.2449	20.5971	20.1416	20.0403	1.103	0.101	1
22.5112	21.5197	21.2860	21.3153	1.225	-0.029	1
23.0052	20.7802	20.7534	20.9731	2.252	-0.220	1
21.6531	21.0660	20.9931	20.9442	0.660	0.049	1
20.2063	19.7879	19.5857	19.6125	0.621	-0.027	1
21.0062	19.8801	19.5651	19.4083	1.441	0.157	1
21.6134	20.9743	20.8487	20.8385	0.765	0.010	1
22.0379	21.0171	20.8097	20.5009	1.228	0.309	1
20.5357	19.8949	19.9477	19.8772	0.588	0.071	1
20.7418	20.5060	20.4786	20.2808	0.263	0.198	1
21.0069	20.3827	20.4545	20.3169	0.552	0.138	1
22.4444	21.7984	21.8099	21.5384	0.635	0.271	1
19.3496	18.6592	18.4756	18.3812	0.874	0.094	1
17.9565	17.7381	17.5624	17.4965	0.394	0.066	1
22.7696	20.3507	20.0112	20.0055	2.758	0.006	1
21.5681	20.9111	20.5192	20.4803	1.049	0.039	1
20.2841	19.9347	19.6812	19.5585	0.603	0.123	1
21.1409	20.4440	20.4373	20.3403	0.704	0.097	1
21.3434	20.5330	20.3705	20.2260	0.973	0.145	1
21.5733	20.8803	21.1251	21.1193	0.448	0.006	1
20.7557	19.5333	19.3920	19.2054	1.364	0.187	1
19.5833	19.1487	18.8792	18.7999	0.704	0.079	1
22.0020	21.1854	21.0738	20.9436	0.928	0.130	1
21.2711	20.3696	20.3218	20.1894	0.949	0.132	1
21.3766	20.6421	20.5139	20.5781	0.863	-0.064	1
22.2933	20.8620	20.6468	20.6258	1.647	0.021	1
19.2468	18.8401	18.9154	18.8073	0.331	0.108	1
22.0135	20.7935	20.2632	20.0294	1.750	0.234	1
22.5408	21.6820	21.5415	21.4383	0.999	0.103	1
20.2043	19.4365	19.4986	19.4334	0.706	0.065	1
22.2380	21.2942	21.1264	21.2544	1.112	-0.128	1
22.2551	21.7016	21.9121	21.5173	0.343	0.395	1
21.5178	20.7935	20.5886	20.6554	0.929	-0.067	1
22.9606	21.6733	21.1991	20.8355	1.761	0.364	1
21.7063	21.1177	21.1686	21.0323	0.538	0.136	1
19.6593	19.0382	19.0429	19.0425	0.616	0.000	1
22.6419	21.8353	21.6817	21.4950	0.960	0.187	1
23.6212	20.2251	19.3429	19.3106	4.278	0.032	1
21.0194	20.3755	20.2378	20.2635	0.782	-0.026	1
21.0996	20.3685	19.7840	19.5590	1.316	0.225	1
22.9614	21.7581	21.5986	21.6384	1.363	-0.040	1
19.6460	19.2862	19.0026	18.6514	0.643	0.351	1
20.0293	19.2639	19.1331	18.9561	0.896	0.177	1
21.7401	21.3044	21.1973	21.3119	0.543	-0.115	1
23.2452	22.1206	21.4116	21.0706	1.834	0.341	1
22.0803	21.3144	21.2096	21.1501	0.871	0.059	1
20.9637	20.3476	20.4585	20.3447	0.505	0.114	1
20.6453	20.2507	20.0842	20.0497	0.561	0.035	1
22.6464	21.8080	21.5604	21.5389	1.086	0.021	1
21.7792	21.1521	20.9471	20.7837	0.832	0.163	1
22.2278	21.5320	21.5062	21.4254	0.722	0.081	1
22.2247	21.6318	21.6053	21.6399	0.619	-0.035	1
22.4622	21.5551	21.4499	21.4428	1.012	0.007	1
20.9064	20.0989	20.0472	19.9433	0.859	0.104	1
19.9116	19.2755	19.1777	19.1305	0.734	0.047	1
21.4390	20.8239	20.7122	20.5968	0.727	0.115	1
